loan_amount,loan_term,interest_rate,annual_income,debt_to_income_ratio,credit_score,employment_length,num_credit_lines,num_derogatory_marks,home_ownership,loan_purpose,verification_status,default,monthly_payment,debt_burden,credit_utilization_risk,loan_to_income,payment_to_income,risk_score_raw
40581.31,48,17.75,187666.22,2.87,424,9.6,12,7,MORTGAGE,home_improvement,Verified,0,1186.7811364876284,44883.504283333335,0.7745454545454545,0.21624195340003116,0.07588671865321069,0.48163791428956343
95317.86,36,23.41,80881.57,51.01,700,14.4,30,0,MORTGAGE,debt_consolidation,Verified,0,3710.1275277345585,343814.0738083333,0.2727272727272727,1.1784867677519117,0.5504533397758562,0.4366815460987977
74539.42,48,17.82,184497.73,59.85,689,24.4,23,1,MORTGAGE,debt_consolidation,Verified,0,2182.5906481739676,920182.4283750001,0.2927272727272727,0.40401266725612284,0.14195886192251583,0.4373054316467971
61872.56,24,26.74,196588.08,53.22,384,22.8,1,0,RENT,home_improvement,Source Verified,1,3356.4939229037577,871868.1348,0.8472727272727273,0.31473200206238344,0.20488488963748513,0.6257439435092031
19821.77,24,15.07,139125.93,48.63,803,8.0,9,0,MORTGAGE,debt_consolidation,Not Verified,0,961.7505496727123,563807.831325,0.08545454545454545,0.1424735849025412,0.0829536707935936,0.2811094579884503
19819.48,12,29.26,167040.25,22.46,335,4.5,20,0,RENT,home_improvement,Source Verified,0,1924.9370787853563,312643.66791666666,0.9363636363636364,0.1186509239539572,0.1382855027182028,0.5321791563324263
10517.94,60,28.31,154918.2,13.88,330,21.0,22,4,MORTGAGE,debt_consolidation,Source Verified,0,329.4545436576877,179188.71800000002,0.9454545454545454,0.06789350767049966,0.025519625995475366,0.5645343868419718
87286.73,48,23.54,145916.17,44.09,403,7.7,6,3,RENT,car,Source Verified,1,2823.5558052742776,536120.3279416667,0.8127272727272727,0.5981977871266768,0.23220640771541173,0.6255435195594199
62105.93,12,11.99,75247.59,18.27,800,27.7,11,0,MORTGAGE,other,Verified,0,5517.74611736988,114564.455775,0.09090909090909094,0.8253544066992711,0.8799345388794321,0.22389663570612506
72266.89,60,8.29,30276.98,10.56,586,3.9,3,3,MORTGAGE,other,Not Verified,1,1475.3623837401112,26643.742400000003,0.48,2.3868592574292418,0.5847461868680871,0.3436346186868087
6955.53,48,26.37,81749.31,47.19,733,9.5,4,0,MORTGAGE,debt_consolidation,Source Verified,0,235.9719379322012,321479.161575,0.21272727272727276,0.08508365391707894,0.034638374992845986,0.3600233829538301
97141.44,36,9.13,140048.48,18.75,425,1.6,29,1,MORTGAGE,home_improvement,Verified,0,3094.952589961679,218825.75,0.7727272727272727,0.6936272353687808,0.2651898191222079,0.41161852736676624
84082.05,48,26.36,38455.26,54.87,570,21.1,27,0,RENT,debt_consolidation,Source Verified,1,2852.0764973048736,175836.67635,0.509090909090909,2.1864902226639478,0.889993149640868,0.581246133145905
25172.22,24,17.27,22145.24,50.44,497,26.7,10,3,MORTGAGE,car,Source Verified,1,1247.839707936474,93083.82546666666,0.6418181818181818,1.1366876132297505,0.6761758506675786,0.6115006153697882
22273.37,24,15.16,45144.63,50.86,755,19.1,19,0,RENT,debt_consolidation,Verified,0,1081.6550059345755,191337.99014999997,0.17272727272727273,0.4933780606907178,0.2875172544600522,0.3417629375672174
22423.43,36,27.58,148832.47,46.29,312,28.1,29,1,MORTGAGE,car,Verified,1,922.4329193012333,574121.253025,0.9781818181818182,0.15066221772708605,0.07437352233430514,0.6529959885970669
33903.01,12,20.1,195102.87,52.85,434,3.9,6,2,MORTGAGE,debt_consolidation,Source Verified,0,3142.2113986642803,859265.5566250001,0.7563636363636363,0.17376991942763323,0.19326490063406737,0.6046620961240128
54851.86,60,19.42,196951.65,48.34,384,2.6,1,0,RENT,other,Verified,1,1435.5937572206635,793386.89675,0.8472727272727273,0.2785041912570928,0.08746880306231485,0.5643890015183527
46034.78,48,18.97,108916.25,36.15,773,25.2,8,0,MORTGAGE,car,Verified,0,1375.7167109017876,328110.203125,0.14,0.42266218309939974,0.15157151050299153,0.2706621510502991
32666.77,24,14.28,176483.41,17.75,557,25.7,8,0,MORTGAGE,debt_consolidation,Source Verified,0,1572.7503017829538,261048.37729166666,0.5327272727272727,0.1850982480449579,0.10693925067175121,0.3082268038550539
63126.02,12,24.64,152628.76,53.29,522,24.9,25,1,MORTGAGE,other,Source Verified,0,5988.73973945623,677798.8850333333,0.5963636363636364,0.4135919075801965,0.4708475445484505,0.5764136938487845
