loan_amount,loan_term,interest_rate,annual_income,debt_to_income_ratio,credit_score,employment_length,num_credit_lines,num_derogatory_marks,home_ownership,loan_purpose,verification_status,default
40581.31,48,17.75,187666.22,2.87,424,9.6,12,7,MORTGAGE,home_improvement,Verified,0
95317.86,36,23.41,80881.57,51.01,700,14.4,30,0,MORTGAGE,debt_consolidation,Verified,0
74539.42,48,17.82,184497.73,59.85,689,24.4,23,1,MORTGAGE,debt_consolidation,Verified,0
61872.56,24,26.74,196588.08,53.22,384,22.8,1,0,RENT,home_improvement,Source Verified,1
19821.77,24,15.07,139125.93,48.63,803,8.0,9,0,MORTGAGE,debt_consolidation,Not Verified,0
19819.48,12,29.26,167040.25,22.46,335,4.5,20,0,RENT,home_improvement,Source Verified,0
10517.94,60,28.31,154918.2,13.88,330,21.0,22,4,MORTGAGE,debt_consolidation,Source Verified,0
87286.73,48,23.54,145916.17,44.09,403,7.7,6,3,RENT,car,Source Verified,1
62105.93,12,11.99,75247.59,18.27,800,27.7,11,0,MORTGAGE,other,Verified,0
72266.89,60,8.29,30276.98,10.56,586,3.9,3,3,MORTGAGE,other,Not Verified,1
6955.53,48,26.37,81749.31,47.19,733,9.5,4,0,MORTGAGE,debt_consolidation,Source Verified,0
97141.44,36,9.13,140048.48,18.75,425,1.6,29,1,MORTGAGE,home_improvement,Verified,0
84082.05,48,26.36,38455.26,54.87,570,21.1,27,0,RENT,debt_consolidation,Source Verified,1
25172.22,24,17.27,22145.24,50.44,497,26.7,10,3,MORTGAGE,car,Source Verified,1
22273.37,24,15.16,45144.63,50.86,755,19.1,19,0,RENT,debt_consolidation,Verified,0
22423.43,36,27.58,148832.47,46.29,312,28.1,29,1,MORTGAGE,car,Verified,1
33903.01,12,20.1,195102.87,52.85,434,3.9,6,2,MORTGAGE,debt_consolidation,Source Verified,0
54851.86,60,19.42,196951.65,48.34,384,2.6,1,0,RENT,other,Verified,1
46034.78,48,18.97,108916.25,36.15,773,25.2,8,0,MORTGAGE,car,Verified,0
32666.77,24,14.28,176483.41,17.75,557,25.7,8,0,MORTGAGE,debt_consolidation,Source Verified,0
63126.02,12,24.64,152628.76,53.29,522,24.9,25,1,MORTGAGE,other,Source Verified,0
18251.92,36,11.32,110187.24,50.44,547,24.0,6,0,MORTGAGE,debt_consolidation,Source Verified,0
32753.74,24,28.47,123096.9,28.37,835,10.9,17,1,OWN,other,Not Verified,0
39804.38,36,27.35,44700.89,2.34,768,6.5,19,4,RENT,car,Source Verified,0
48326.65,48,13.44,188779.06,38.31,689,27.9,1,0,RENT,other,Source Verified,0
79591.72,60,23.24,83347.36,3.04,460,9.2,15,0,MORTGAGE,debt_consolidation,Not Verified,0
23969.01,24,19.33,100306.87,55.58,391,12.0,13,1,MORTGAGE,debt_consolidation,Source Verified,1
53852.27,24,13.44,140898.84,57.7,807,21.0,21,2,RENT,car,Verified,0
61279.38,48,29.71,80102.44,11.37,533,8.8,3,5,MORTGAGE,other,Verified,0
9412.79,12,5.63,65766.65,40.58,453,24.6,30,0,MORTGAGE,debt_consolidation,Not Verified,0
62716.76,60,11.32,133588.89,5.54,559,2.1,2,0,OWN,debt_consolidation,Not Verified,0
21199.79,24,18.0,24497.13,43.77,805,23.7,3,3,RENT,debt_consolidation,Not Verified,0
11179.9,60,18.05,149730.52,20.84,513,18.1,9,2,RENT,other,Source Verified,0
95144.13,24,19.72,112524.21,40.86,609,17.2,27,1,RENT,car,Not Verified,0
96735.04,60,23.79,129035.67,22.37,742,13.8,16,0,RENT,debt_consolidation,Verified,0
81797.75,36,20.59,133738.43,8.73,535,8.3,24,0,OWN,debt_consolidation,Source Verified,0
33938.31,24,20.01,114869.03,24.37,428,13.9,13,0,MORTGAGE,home_improvement,Not Verified,0
14278.85,60,6.34,124856.08,6.76,847,13.5,19,4,RENT,debt_consolidation,Verified,0
70002.14,12,14.41,143081.88,34.61,826,17.5,27,0,RENT,car,Verified,0
46814.49,36,10.8,155561.39,2.46,764,8.4,18,1,RENT,debt_consolidation,Source Verified,0
16593.63,36,11.63,150941.43,31.64,679,2.3,21,1,RENT,home_improvement,Not Verified,0
52041.81,12,18.86,176530.96,53.18,462,4.4,12,0,RENT,other,Verified,1
8266.91,60,9.99,54099.82,50.27,802,21.0,28,0,RENT,home_improvement,Source Verified,0
91385.44,48,12.35,92206.63,52.97,452,0.7,29,1,MORTGAGE,debt_consolidation,Verified,1
29584.1,12,10.93,190603.29,55.32,740,25.7,12,0,MORTGAGE,car,Source Verified,0
67939.62,60,28.71,91386.3,6.27,805,20.8,1,0,RENT,debt_consolidation,Not Verified,0
34612.55,12,28.62,42476.61,7.72,632,23.0,20,0,MORTGAGE,other,Verified,0
54406.46,12,20.25,114580.12,33.42,742,25.1,8,2,RENT,debt_consolidation,Verified,0
56937.48,24,28.11,39708.38,53.64,735,3.7,17,6,RENT,car,Source Verified,1
